Proposal Daisakusen","special","sp","Proposal Daisakusen Special","Yahoo"
Proposal Daisakusen","episode","01","We can get married if I get us to Koshien!?","MSN"
Proposal Daisakusen","episode","02","We can get married if I get you a milk coffee!?","MSN"
Proposal Daisakusen","episode","03","We can get married if I switch seats!?","Google"
Proposal Daisakusen","episode","04","We can get married if I give you my second button!?","Google"
Proposal Daisakusen","episode","05","Are those who say they'll do it tomorrow idiots?","Yahoo"
Proposal Daisakusen","episode","06","What do you graduate from on your last day as a teen?","Yahoo"
Proposal Daisakusen","episode","07","When will love and fireworks scatter?","Yahoo"
Proposal Daisakusen","episode","08","Are the tears you shed on New Year's Eve the real thing?","Yahoo"
Proposal Daisakusen","episode","09","At the last moment, what will you put on the line?","Yahoo"
Proposal Daisakusen","episode","10","Last Hallelujah chance!","Yahoo"
Proposal Daisakusen","episode","11","Will a tearful confession summon a miracle?","Yahoo"
